,fingerprint_index,SMILES
2763658541,512,[cH][cH][c]([c]([cH])[CH2])[S](=[O])(=[O])[O-]
1510572037,513,[c][c]([cH])[S](=[O])(=[O])[O-]
2661736763,514,[CH][C](=[O])[OH]
3185657995,515,[CH][S](=[O])(=[O])[OH]
742319307,516,[OH][S]
3679035539,517,[CH2][CH2][CH]([C](=[O])[OH])[S](=[O])(=[O])[OH]
1653582105,518,[CH2][CH]([S])[C](=[O])[OH]
3452765667,519,[C][CH]([CH2])[S](=[O])(=[O])[OH]
2160490821,520,[C][O][CH2][CH2][S]
199267337,521,[O]=[S](=[O])([O-])[CH2][CH2][O]
896371075,522,[CH2][S](=[O])(=[O])[OH]
14304074,523,[CH2][CH2][CH2][S](=[O])(=[O])[OH]
3058986608,524,[CH2][CH2][S](=[O])(=[O])[OH]
332384113,525,[CH3][CH]([CH3])[CH2][O]
3023649056,526,[C][O][CH2][CH]([CH3])[CH3]
2186057460,527,[c][CH2][N+]([CH3])([CH3])[CH3]
3376765918,528,[cH][c]([cH])[CH2][N+]([CH3])([CH3])[CH3]
915654391,529,[c][cH][c]
2749271213,530,[cH][cH][c]([cH][c])[CH2][CH2]
4062608866,531,[c][cH][cH][cH][c]
1095812867,532,[cH][cH][cH][c]([cH])[S]
1713523314,533,[c][cH][c]([cH][cH])[S](=[O])(=[O])[O-]
71203534,534,[cH][c]([CH2])[cH][c]([cH])[S]
3674161456,535,[Mg+2]
621952749,536,[Mg+2]
1272210415,537,[CH2][CH]([CH3])[O]
3447456111,538,[CH3][CH]([CH3])[CH2][CH]([CH3])[O]
2048574825,539,[C][O][CH]([CH3])[CH2][CH]
2363979157,540,[CH2][C](=[O])[O][CH]([CH2])[CH3]
1524857990,541,[CH][CH2][C](=[O])[O][CH]
1782706223,542,[CH][O][C](=[O])[CH]([CH2])[S]
3716994543,543,[CH][C](=[O])[O][CH]([CH3])[CH2]
2963803434,544,[CH3][CH]([CH3])[CH2][CH]([CH3])[O]
1689584280,545,[C][C](=[O])[OH]
3197915902,546,[C][C]([CH])([F])[F]
4142309346,547,[C][CH]([F])[F]
3041210955,548,[CH][F]
2392884277,549,[C][C]([F])([F])[C](=[O])[OH]
1243820954,550,[C][C]([F])([F])[C]([F])([F])[C](=[O])[OH]
2153518407,551,[C][C]([F])([F])[C]([F])([F])[C]([CH])([F])[F]
1625698519,552,[C][C]([F])([F])[C]([F])([F])[CH]([F])[F]
1689795932,553,[C][C]([F])([F])[CH]([F])[F]
524714601,554,[CH3][CH2][N+]([CH3])([CH3])[CH3]
2246907571,555,[CH3][CH2][CH2][CH2][N+]
3573421554,556,[NH3+]
226748839,557,[CH3][NH3+]
3893364355,558,[CH3][NH3+]
3964660806,559,[CH3][CH2][NH3+]
3868144824,560,[CH2][NH3+]
1477709281,561,[CH2][CH2][NH3+]
1611749325,562,[CH3][CH2][CH2][CH2][NH3+]
739778197,563,[CH2][CH2][CH2][NH3+]
3561666154,564,[CH2][CH2][CH2][CH2][NH3+]
3113070766,565,[CH][CH2][S]
2533991298,566,[CH2][CH2][CH]([CH2][CH2])[CH2][S]
2737713173,567,[CH2][CH]([CH2])[CH2][S](=[O])(=[O])[O-]
1276216540,568,[CH][CH2][S](=[O])(=[O])[O-]
328359259,569,[C][CH]([CH2])[CH]
4227756643,570,[C][CH]([C])[CH]
3922941137,571,[C][CH]([CH])[CH2][CH2][CH2]
155988671,572,[C][CH]([C])[CH]([CH2][CH2])[C](=[O])[O-]
1693040811,573,[CH2][CH]([CH])[C](=[O])[O-]
2957630513,574,[C][CH]([CH2])[CH]([C](=[O])[O-])[C](=[O])[O-]
2431079098,575,[C][CH]([CH])[C](=[O])[O-]
2736040354,576,[C][C]([F])([F])[F]
3987114041,577,[O]=[C]([OH])[C]([F])([F])[F]
1312820421,578,[O]=[C]([OH])[C]([F])([F])[C]([F])([F])[F]
2229066449,579,[C][C]([F])([F])[C]([F])([F])[F]
3753725248,580,[C][C]([F])([F])[C]([F])([F])[C]([F])([F])[F]
98935059,581,[C][C]([C])([F])[Cl]
556818971,582,[C][Cl]
2888322806,583,[C][C]([F])([F])[Cl]
2373972017,584,[C][C]([F])([Cl])[C]([F])([F])[C](=[O])[OH]
1392261734,585,[C][C]([F])([F])[C]([F])([Cl])[C]([F])([F])[Cl]
2856515848,586,[C][C]([F])([Cl])[C]([F])([F])[Cl]
3727851279,587,[C][C]([F])([F])[C]([F])([Cl])[C]([C])([F])[F]
2895045172,588,[C][C]([F])([Cl])[C]([F])([F])[C]([C])([F])[Cl]
2643275814,589,[C][C]([F])([F])[C]([F])([Cl])[C]([F])([F])[Cl]
289633615,590,[C][C]([F])([F])[C]([F])([Cl])[C]([C])([F])[F]
3089800925,591,[C][O][CH2][CH]([CH2])[OH]
568483321,592,[O][CH2][CH]([OH])[CH2][O]
1102086017,593,[CH2][CH]([OH])[CH2][O][S]
3099881834,594,[CH][CH2][O][S](=[O])(=[O])[O-]
94715735,595,[Mn+2]
4222875273,596,[Mn+2]
2025227050,597,[Cs+]
3791242671,598,[Cs+]
1040872489,599,[O]=[S](=[O])([O-])[O-]
594827437,600,[C][CH]([C])[CH2]
1659419527,601,[C][CH]([C])[CH2][CH2][CH2]
1979569716,602,[CH2][CH2][CH]([C](=[O])[O-])[C](=[O])[O-]
113429083,603,[C][CH]([CH2])[C](=[O])[O-]
432675792,604,[cH][cH][c]([cH][c])[C]([CH2])([CH3])[CH3]
1264833250,605,[cH][cH][cH][c]([cH])[C]
4225018528,606,[cH][c]([C])[cH][c]([cH])[S]
1543262749,607,[c][cH][c]([cH][c])[C]([CH2])([CH3])[CH3]
4058496833,608,[cH][c]([C])[cH][c]([cH])[C]
3840073358,609,[c][C]([CH3])([CH3])[CH2][C]([CH3])([CH3])[CH3]
968770203,610,[cH][c]([C])[cH][c]([cH])[S]
605291455,611,[c][cH][c]([cH][c])[S](=[O])(=[O])[O-]
3713539007,612,[c][C]([CH3])([CH3])[CH2][CH2][CH2]
1199783565,613,[cH][c]([cH])[C]([CH3])([CH3])[CH2][CH2]
3298282759,614,[CH2][CH2][CH]([CH2][CH2])[CH2][CH2]
1861799637,615,[c][CH2][CH2][CH]([CH2])[CH2]
2660408438,616,[cH][c]([cH])[CH2][CH2][CH]
2432363778,617,[c][CH2][CH]
1652123312,618,[CH2][CH2][CH]([CH3])[CH2][CH]
3017063849,619,[CH2][CH]([CH3])[CH2][CH]([CH2])[CH2]
2056480818,620,[c][CH2][CH]([CH2][CH])[CH2][CH2]
3326206608,621,[CH3][CH2][CH2][CH]([CH2])[CH2]
298809191,622,[cH][c]([cH])[CH2][CH]([CH2])[CH2]
2810036507,623,[cH][cH][c]([cH][cH])[CH2][CH]
