,fingerprint_index,SMILES
225208655,283,[CH][CH]([OH])[CH]([NH2])[CH]([O])[O]
2252267083,284,[CH][C]([N])=[O]
3099071114,285,[CH2][CH2][CH2][CH2][N]
2286381650,286,[C][N]([CH3])[CH2][CH2][CH2]
1114952585,287,[CH][CH]([OH])[C](=[O])[N]([CH2])[CH3]
740467044,288,[CH][CH]([OH])[CH]([OH])[C]([N])=[O]
1634760702,289,[C][CH]([OH])[CH]([OH])[CH]([CH])[OH]
306690654,290,[C][N]([CH3])[CH2][CH]([CH2])[OH]
3565581287,291,[N][CH2][CH]([OH])[CH2][OH]
62115706,292,[CH2][CH2][C](=[O])[NH][CH2]
1946384536,293,[CH2][CH2][NH][C]([CH2])=[O]
1406341756,294,[C][NH][CH2][CH2][O]
1091477275,295,[CH][O][CH2][CH2][NH]
607398155,296,[CH2][CH]([OH])[CH]([OH])[CH]([CH])[O]
3031066059,297,[CH][CH]([O])[S]
3248565956,298,[CH2][CH2][S][CH]([CH])[O]
3286864617,299,[CH][O][CH]([S][CH2])[CH]([CH])[OH]
1783815106,300,[CH2][CH]([CH])[O][CH]([CH])[S]
1269635134,301,[CH][CH]([OH])[CH]([OH])[CH]([O])[S]
3240735605,302,[N+]
428597197,303,[Br-]
2192200467,304,[CH2][CH2][N+]
1918861958,305,[CH2][N+]([CH3])([CH3])[CH3]
3611146069,306,[CH3][N+]
2678747786,307,[Br-]
62653285,308,[CH2][CH2][CH2][CH2][N+]
4208819056,309,[CH2][CH2][CH2][N+]([CH3])([CH3])[CH3]
2568460223,310,[CH2][CH2][N+]([CH3])([CH3])[CH3]
111501795,311,[Cl-]
2525527364,312,[Cl-]
2098374967,313,[n+]
3124448797,314,[CH2][CH2][n+]
824248327,315,[cH][n+]([cH])[CH2]
1633510382,316,[cH][cH][n+]
697813700,317,[cH][cH][cH]
1465178872,318,[CH2][CH2][CH2][CH2][n+]
2540287087,319,[cH][n+]([cH])[CH2][CH2][CH2]
1990104767,320,[cH][cH][n+]([cH][cH])[CH2][CH2]
1686867986,321,[cH][cH][cH][n+]([cH])[CH2]
1203190805,322,[cH][cH][cH][cH][n+]
633535084,323,[cH][cH][cH][cH][cH]
1979065791,324,[cH][cH][cH][cH][n+]
1302177307,325,[I-]
3073107754,326,[I-]
3322176289,327,[CH2][N+]([CH3])([CH3])[CH2]
921809588,328,[CH3][CH2][N+]
2089578150,329,[CH2][CH2][CH2][N+]([CH3])([CH3])[CH2]
1211484075,330,[CH2][CH2][N+]([CH3])([CH3])[CH2][CH3]
2228762966,331,[CH3][CH2][N+]([CH2])([CH3])[CH3]
3462713981,332,[CH2][CH2][N+]([CH3])([CH3])[CH2][CH2]
